"","x"
"513","we need to toss the gop into dustbin of history with the confederates and nazis votebluetoendthisnightmare"
"514","we also need to infuse massive funding to strengthen americas public health systemits been starved fâ€"
"515","morning mr joei must disagree on one point the fool in the wh has never done his job we dont expeâ€"
"516","we have national testing every order our hospital has made for ppe has been filled get out the basement joe"
"517","what we need is a coherent foreign policytrump is pulling us out of nato at the behest of putinpleâ€"
"518","dementiadoesnt even know where he is half the time bluemaga is hilariousâ€"
"519","trump will continue to do his job for the nextyears i canâ€™t wait trumplandslidevictory trump"
"520","whatâ€™s your plan"
"521","like the hn pandemic plan"
"522","waitare you still on thisour testing is fineim out in the boonies and have been tested twiceâ€"
"523","apparently trump is too busy discussing nuclear proliferation with putin and doesnt have time for the coâ€"
"524","obviously"
"525","ok whats your plan then"
"526","we need someone who knows where they are when they get up to speak"
"527","write your own testing must be done to everyone at the same time in order to get this under controlcommon sense"
"528","shots fired"
"529","we need medicare for all"
"530","wah wah wah heâ€™s doing his job and your daily dribble stating otherwise is just childish youâ€™re feeblâ€"
"531","we need our legislature to do its job because clearly the president wont do his"
"532","defit trumpvirus"
"533","eat it stop using fear to try and get elected you feckless old man"
"534","joe stop being the mouth piece of the leftist socialist reform i know deep down you donâ€™t truly belieâ€"
"535","he has never done a day of honest work in his life not gonna start now"
"536","our testing program is pretty decent tho"
"537","and lastly we need you back in the basement"
"538","we deserve to know which government officials and members of the media that have taken hydroxychloroquine makehcqotc"
"539","ridin with biden you tell em joe"
"540","what you really mentwe need an effective coordinated nationwide population tracing program we need aâ€"
"541","just say he canâ€™t do it but you could and will"
"542","blah blah blah you send this same tweet once a week your caregiversneed totake your phone away"
"543","medicare for all we need to get rid of the dnc"
"544","we need you to shut your mouth"
"545","trump"
"546","yeah good luck with that"
"547","i fuckin hate joe bidennevertrump"
"548","which he is doingwhile democrats align with anarchistthis new radical progressive left socialist parâ€"
"549","not going to happen we need you joe"
"550","pleasecanâ€™t we start a shadow government january is such a long time away"
"551","the liberal left is all about control they want a big nanny state government because they have to contrâ€"
"552","i am scared to death if you get elected whoâ€™s going to protect me and my grandchildren and my children doâ€"
"553","how about a debate"
"554","we need joe biden to put his binky back in his mouth"
"555","hang on a minute isnt the country that takes on the mantle of the leader of the free world logically bâ€"
"556","election campaigns begin with criticizing the opponent and the status quoit seems to me that you needâ€"
"557","we need a mandatory nationwide shelterinplace forweeks then we can all get back to school work anâ€"
"558","neither presidential candidate is capable of doing this job letâ€™s reject this insane choice provided byâ€"
"559","underinept leadership americans are not unable to travel to canada mexico europe and many other places"
"560","we needed this months ago when can you start"
"561","this president hasnt done his job inyears we need a president who will gojoe"
"562","the president is doing his job and heâ€™s not even getting paid to do it"
"563","but sadly we all know he wont"
"564","oops"
"565","get off the twitterand try to campaignfor someone else"
"566","we need to know what your fascination is with young females and your need to molest them in publicimâ€"
"567","we need you to stay in your basement aand let a real president do is job donald trump is awesome"
"568","sick of the lot of them"
"569","mr biden if you want to win this election please dont choose kamala harris as your running mate whoeâ€"
"570","heres your comprehensive planmedicareforall"
"571","we also need citizens who are going to cooperate with science and guidelinesthereâ€™s no way we will getâ€"
"572","you are the man who understands science and not spreading propaganda unlike traitortrump we need youâ€"
"573","we need all those things but most of all we need him gone"
"574","robb all of u"
"575","you gutted the system siryou you were in charge of the hn response and you left the system emptyâ€"
"576","if youre saying that what youre really saying is fauci the cdc and fda are not doing their job ğÿ”"
"577","its called herd immunitytesting is a waste of time and resources and overwhelms healthcare workersâ€"
"578","common sense to mostthank you joe unfortunately the gop has a real lack of common sense which is whâ€"
"579","we need protestors to stop spreading spreading the virus and rioting"
"580","trump"
"581","ccp also took this opportunity to expand their rights and prestige in the worldthe world must destroyâ€"
"582","hes robb the american people for years"
"583","also thanks to trump us leads world in testing numbersno thx to empty pantry and supplies left by obamabiden admin"
"584","we need an other president to do his job"
"585","what president"
"586","hey joe can you come up with something better than build back better it doesnt sound very inspiring"
"587","ok letâ€™s just calm down first of all who wrote this tweet"
"588","a text said trump is raised a billion dollars with all the millions heâ€™s giving these corporations hasâ€"
"589","we need the democrats to quit bitching and go to work helping instead of hindering"
"590","go back to the basement joe"
"591","the p virus manufacturing research institute of ccp will produce more viruses as biological and chemicalâ€"
"592","why the democrats really hate trump"
"593","defendthepolice"
"594","i guess we only need to get anothermillion or so cases to reach yours and obamaâ€™s all time record"
"595","a tracing program like the nazis had with the ss no thanks the virus is under control we dont need that nazi stuff"
"596","sounds like a joebidenjobdonthecon and his clan of covidiots are criminally incompetent in safeguarâ€"
"597","its all good say bye bye to big pharmakodak is coming"
"598","why are you afraid to take questions from the press itâ€™s a simple question"
"599","mall medical professionals have a good amount of ppe fact and no one in the world is doing more testing than the us trump"
"600","tracing programwell since you are into the govt spying on its citizens of course youâ€™re for tracing their whereabouts"
"601","saa as fee reopening ppl need to agree to follow public health orders protect the american people publichealth"
"602","trash"
"603","or let him golf while you do his jobthis is crazy"
"604","he tweeted while eating soft serve in a black suv"
"605","he never had any plans to do that"
"606","i donâ€™t need tested and i sure as hell donâ€™t need to be traced"
"607","we already have that i heard you will change nafta on your st day in officelol sit down joe you need medication"
"608","creepy joe youve been in the government foryears and have accomplished very little other than gettinâ€"
"609","tell us the plan so it can be implementeddonâ€™t forget you promised a cure for cancer too"
"610","sir weâ€™re waiting on you and kamalağÿ˜‰"
"611","heâ€™s up to the task he discovered the curehcq and zinc soon people will have the cure despite efforts against itğÿ"
"612","i agree joe we need all of this we also need theunemployment protections keeping millions of ameâ€"
"613","nothing you have proposed has not already been implemented by trump stop plagiarizing his policy and coâ€"
"614","any specifics on how you would do it it may help him"
"615","why donâ€™t you do the same for the annual flu"
"616","bidementia awareness day"
"617","we need to allow real doctors on the frontline to be able to do their jobs iâ€™m sitting here right now wâ€"
"618","do you have a comprehensive plan todayif you do you have an obligation to reveal it to america nowlives are at stake"
"619","on dayone of your presidency can you please have this monstrosity of a fence removed and return the wh tâ€"
"620","hydroxycholoroquine"
"621","joe we need you to do the job counting the days"
"622","no we need presidentbiden"
"623","we need this candidate to stop undermining the presidentthanks"
"624","we need medicare for all joe"
"625","we need medicareall we need to legalize cannabis we need you to be able to read a râ€"
"626","if its coordinated nationwide like the riots occupied ying the cities thats effective you should acknowledge you did that"
"627","wake up sleepy joe donald j trump already solved all of our problems the virus is under control trump backtheblue"
"628","we need unemployment extended a little longer and the rich get richer"
"629","shut up pls weak ass old man"
"630","love you joeistandwithjoebiden"
"631","why werenâ€™t you telling bill deblazio this when he wouldnâ€™t allow contact tracers to ask people if theyâ€™d been to protests"
"632","our president has been doing all that and much more thank god heâ€™s president and not you or crooked hillary"
"633","please do not debate trump unless he releases his taxes no taxes no debate joebidenjobâ€"
"634","incapable of doing so when you and obama left"
"635","is very busy wishing covid away"
"636","we need free masks for everyone notbucks forat walmart they are ripping us off just some old guy from michigan"
"637","so far every suggestion youve made toward how youd handle the virus and testing the trump administratâ€"
"638","we need a president badly you cant sit down fast enough ready novwell make exception this time"
"639","that is the job of the governors but you dont know this inyears of public service you still havent figured it out"
"640","well im going to vote trump because im sure he has a comprehensive to get covid under control unfortunâ€"
"641","we need the numb nutz president to keep losing his mind and talking crazy its working in the democraticâ€"
"642","the country has plenty of ppe being made and you are a liar"
"643","we need someone who has his own thoughts not someone reading and sending someone elses tweets"
"644","go back to the basement joe no one wants you tracing them"
"645","i sent a few more dollars to biden campaign you cheapos out there step up lol"
"646","we need a new president"
"647","ğÿ‡ğÿ‡âœšğÿ˜ go joe biden"
"648","thank you joe agreeditâ€™s beenyears and we know thinskintrump wonâ€™t do his job so a new presidentâ€"
"649","democrats need to restore protections to the citizens in the cities they rundemocratic run cities needâ€"
"650","we need medicareforall"
"651","we know how the democrats are trump"
"652","we needto speak for himself i watched in disgust as he was literally hand held going to his car"
"653","active ğÿğÿğÿ"
"654","so hold on folks lets hear him out whats your plan"
"655","we need this president and we use that term very very loosely to disappear as quickly as possibleyouâ€"
"656","sweet jesus joe where have you been oh yeahyour basement we already have a great president doing all of this trump"
"657","ğÿğÿğÿ˜ğÿ˜ğÿ˜ğÿğÿğÿ"
"658","basement boy"
"659","dementia joe do you remember holding a rally in kansas city on marchdo you remember opposing the chiâ€"
"660","he wonâ€™t so weâ€™re counting on you joe it is shameful thousands more will die before the election"
"661","so throwing money at it isnâ€™t working whatttt"
"662","you scared to debate trump you are afraid to show what little you have to offer america and trump will sâ€"
"663","hes never had a real job soooo"
"664","no joewe need him out so you can go in amp do yours"
"665","mr biden the whole world knew that trump miserably failed to handle this pandemicthe deaths of more thanâ€"
"666","comprehensive is libtard for ğÿ‚ğÿ’"
"667","where was joe when obuma ceased testing for hn during the outbreak inweak pathetic losertrump ğÿ–’"
"668","get out of your basement everything you mention is being done or in place"
"669","vp choice st priority needs to be about winning then its about governingplease dont make the mistaâ€"
"670","of course we need all of them and trump will do his job"
"671","president trump is doing a very good job he doesnt hide in a basement somewhere thats why he will be reelected"
"672","relax the president is on this heâ€™s got hydroxychloroquine alien dna amp demon sperm right q people btwâ€"
"673","trump failed to confront corona"
"674","joe we need you to do his job"
"675","we need for him to go and for you to take overhe doesnâ€™t care about getting it under control"
"676","because youâ€™ve done such a great job in the past ğÿ˜‚ğÿ˜‚ğÿ˜‚"
"677","guess you didnâ€™t turn into his presser yesterday"
"678","we need a president not a self indulged toddler"
"679","he provided ppe ventilators mobile hospitals created a fast paced vaccination program guidelines andâ€"
"680","joe cant stand up to answer questions from the press but the dnc wants me to believe he can stand up toâ€"
"681","you are months behindjust stop"
"682","we need single payer healthcare"
"683","we need a president that will do their job donald trump clearly has no interest in doing his job that is why i will voteforjoe"
"684","we need to start planning our vaccine distribution process so it doesnâ€™t become the shit show testing is"
"685","so now you want to trace women in addition to feeling them up eh joemaga"
"686","weekend at bidens ğÿğÿğÿ"
"687","we need the national production act to increase production on the machines that give results same day or we cant open schools"
"688","thats what hes doing despite your administration leaving us with nothing"
"689","trump does more inhour then you do in a week"
"690","and we need one more thing get rid ofnow"
"691","nobody believes demo political bs concerning covidanymore we now know you let americans die by keepiâ€"
"692","if you would crawl out of your bubble you would see that the entire country is testingthe back log isâ€"
"693","he doesnâ€™t know howhe only plays one on tvpersonwomanmancameratv"
"694","vp bidenwhat did you do for ovahyears"
"695","we also needed the n masks your boss depleted"
"696","has done all that try to keep up"
"697","no we donâ€™t need our freedoms taken awaythis is nothing more than fear mongering at its best the numberâ€"
"698","joe or whoever is tweeting for you we are past that point we simply need a vaccine turd"
"699","we need another one to be potus fast"
"700","hi mr vice presidentyou are our hope for america please be careful trump has goons all overmay gâ€"
"701","we need you to do his job for him"
"702","what have you been doing for the lastyears you are going to lose the election joe hate to break iâ€"
"703","we need you"
"704","joe if trump is such a horrible president why are all of your ideas for covid amp the riots exactly whatâ€"
"705","my family is excited for your presidency joe we know things wonâ€™t happen over night but we at least knâ€"
"706","as a teacher who is expected to return to school in a few weeks i would like some ppe too please andâ€"
"707","is an epic failure at this pandemic and every other issue"
"708","thanks for the mess you and obama left behind joe"
"709","you need to head back to the basementğÿ‘"
"710","citizentrackingmain objective of all of this by dems amp chinese"
"711","this will not be possible"
"712","obamagate spyingbiden"
"713","respectfully sir we need you to do his job"
"714","susanricevp"
"715","we need medicare for all"
"716","we need money mister biden"
"717","true joe but you and the democratsneed also to stepup big time your only argument to winelections cannot be just this"
"718","lets get some facts that youre youre not going to go give overamericans are tested a day thâ€"
"719","heâ€™s doing a great job also your cognitive impairment is obvious"
"720","since we got the vans going around picking protesters off the streetswhy dont we go pick up the craziâ€"
"721","what we really need is one less president that supports crackpots"
"722","you have already proven your approach with obama was to stop testing"
"723","i just saw that everything you say we need is already being done strange do you pay attention to what is actually happening"
"724","for mental issues like dementia joe what a wonderful idea you first"
"725","we need him to resigndead and countingstill no national plan for dealing with this virus"
"726","he is doing his job the problem is his job has never been to govern the us but to take over it he wantâ€"
"727","we dont need this president to do his jobwe need a president to do this jobvotebidentosaveamerica"
"728","the joementum is coming to a screeching halt"
"729","our tracing program has been able to trace joe down to his basement hiding from public opinion"
"730","strange things are going on in new zealand"
"731","we need a democrat candidate for president with all his mental faculties in tact"
"732","we need you to be able to answer a question coherently"
"733","ha ha ha ha ha ha good one joe except this so called president doesnâ€™t know what a job is to him itâ€™sâ€"
"734","agreed but iq canâ€™t do it he canâ€™t even follow the script to seem like he cares off in air force oneâ€"
"735","perhaps there also have another most important thing is to immediately close the biological weapons laborâ€"
"736","fu"
"737","you didnâ€™t write this"
"738","he is doing his job you would have us all bunker down kill our economy so you and the other dems have mâ€"
"739","who writes this for you"
"740","you really dont have even a cousin of clue"
"741","trump has doomed us by not doing that in feb"
"742","was with you right til the last sentence we need him to resign â€œhis jobâ€ as he understands it is weakenâ€"
"743","if you would get your head out of your ass you would know this has already started"
"744","thats not going to happen we need you to tell us what you will do on dayhint putin charge of the response"
"745","yet biden has to put tell the truth on his own  card come on anybody who votes for this guy doesnâ€"
"746","the virus will never be under control just like the common cold is never under control stop the nonsenseâ€"
"747","let me help you translate that joewe need big govt in your livesknocking on your doorand stanâ€"
"748","whos writing these tweets for sleepywe know its not him"
"749","itâ€™s going to be up to you as president please do not disappoint"
"750","joebiden"
"751","we need you to kindly step aside and realize that politics and running this country should be left to a yâ€"
"752","hcq works"
"753","miss me with that tracing bs try respecting americans privacy"
"754","whatever we need you will not be capable to providewhatever it isyoure too incompetentand always have been"
"755","haha still pumping the ppe fraud hysterical are we shirt ventilators too you dementia clown"
"756","you literally just yesterday julystood at a press conference and said i have not been testedâ€"
"757","wait wait now heâ€™s blind too ğÿ"
"758","yeah why dont you hop in line first your a bigger clown then trump and thats hard to beatâ€"
"759","you mean like this nugget during his st yearsyracuse biden was accused of plagiarizâ€"
"760","and the world needs a rico case against the trump family"
"761","you are right joewe need national testing for dementia"
"762","joe you sound like a broken record for heavens sake sake the present administration is doing all it canâ€"
"763","we know what we needhow would you accomplish it"
"764","president trump is doing his job hcq works they are just demonizing it because he supported it he hasâ€"
"765","we need a president who can write his own tweets"
"766","what we need joe is for you your party and the media to quit lying to and allowing people to die becausâ€"
"767","you need some covid"
"768","please do not name susannrice as vp choice she is too close to hilary clinton"
"769","we need you to be president already biden"
"770","isnt it nap time joe"
"771","i wish when you left office that we had the ppe in place and ready to go sadly we didnt"
"772","he is doing his jobğÿœï"
"773","um no we dont liar"
"774","our hospital emergency rooms continue to be completely full of all ages testing positive forâ€"
"775","we need youto take the reigns of this trump carnage caravan out of the ditch heâ€™s squarely plaâ€"
"776","and we need your handlers to keep up with your meds better"
"777","we need you to do this presidents job"
"778","dont fall down joe socialists are depending on you"
"779","yeah no way you tweeted this ğÿ˜‚"
"780","you and your handlers are so wildly out of touch with the american peoplethank god you have zero chancâ€"
"781","ask joe why he amp democrats donâ€™t want hydroxy info getting out because it worksask yourself why the lâ€"
"782","we need you to stop touching lil kids too joe"
"783","you need to oust that idiot running your countryğÿ‘"
"784","at leasttook care of this already go back to sleep joey"
"785","you know he is not going to do his job hes too busy collecting tax payers money so he can flee to russâ€"
"786","we dont have a real presidentwe have an atm in the oval that dispenses shit while fleecing the country"
"787","we already have that his name is donald trump and he is doing a great job we dont need any pedos or prâ€"
"788","whatâ€™s your foreign policy especially to china"
"789","looks like you need a health check"
"790","i am canadian please become presidentout of all the presidents i observed throughout the yearseverâ€"
"791","imagine ifhad to do what agbarr did yesterdayif joe had to actually answer questions whichâ€"
"792","please dont pick harris we would like to vote for you"
"793","we need you to be extradited to ukraine so you can defend your honor and embezzlement scheme"
"794","joe youaintblack biden led the us â€œresponseâ€ to hn virus inthe result of demented joeâ€™s â€œleaâ€"
"795","release joe from your clutches your campaign is elder abuse"
"796","we dont need tracing you and your goons will misuse it like fisa and dhs its probably the reason youâ€"
"797","ukraine"
"798","votefor president"
"799","shut up ğÿ"
"800","canâ€™t agree more with you"
"801","wake up joe the public needs to exercise caution there are many who are not including the anarchistsâ€"
"802","please donâ€™t forget the teacherswe need ppe and can iâ€™ll afford to end up buying for us and out different classes"
"803","president trump is doing his job thats why the dems are so mad"
"804","no we dont we have a cure and prophylaxisnot to mention more cases and fewer deaths means the mortaâ€"
"805","you havenâ€™t had a testyou have all the resources at your disposal yet you donâ€™t believe in testing enough to test yourself"
"806","we need more than ppe we deserve hazard pay financial protection when we get infected and guaranteed liâ€"
"807","spoiler he wont"
"808","no testing plan really factovermillion people tested whos saying theres no testing plan"
"809","youre not going to do much from the basement"
"810","joe biden starts all â€œhisâ€ tweets and speeches with â€œwe needâ€heâ€™s hadyears in government includingâ€"
"811","ğÿ˜€"
"812","we need medicareforall"
"813","weve tested and traced this virus more than any other virus in history of the worldhow did yâ€"
"814","go back to the basement joe â˜ï"
"815","medicareforall would fix this eattherich"
"816","whos writing joes comprehensive plan its definitely not joe"
"817","yes we need good president"
"818","good luck with that"
"819","how about the govt make a deal with large companies like amazon and major ppe manufacturers to come togeâ€"
"820","as for this â€œtracingâ€ program please do tell what kind of unconstitutional gestapo ideas you have to shaâ€"
"821","agree this tweet tho has become repetitive and boring give us something new to rally behindâ€"
"822","no no no no we are tired of masks and being traced numbers are being hicked up dont care when you alâ€"
"823","narrator joe biden wants you to get murdered by home invaders just listen to thisjoe yes absoluâ€"
"824","where is thatbillion in cash"
"825","child abuser"
"826","you could have been doing your job while vp and warned americans of covid but you didntyou and obaâ€"
"827","trump is doing his jobyou are being led around like a small child"
"828","everybodys got everything they need right now"
"829","joe youâ€™ve done nothing for decadesgo away and let someone new do it"
"830","trump has already done all of these things while you were sleeping are you awake now"
"831","hey joe do me a favor on the afternoon of january th can you request that congress provide a â€"
"832","you would have the whole country line up for testing even with no symptoms and separate us into camps ofâ€"
"833","kodak"
"834","not smartnever been"
"835","we need a president who doesnâ€™t need s to remind himself to â€œtell the truthâ€ ğÿğÿâ€â™€ï leave this to theâ€"
"836","why arenâ€™t front line workers dying at an alarming rate if things are this bad answer me that"
"837","get you and your pedophile friends out of his way then sleepy joe trumpâ€"
"838","same failed message over amp over same failed message over amp over same failed message over amp over same failâ€"
"839","he is doing his job what the hell are you doing"
"840","no tax returnsno debates"
"841","hcqworks"
"842","trump is doing a great job we need you amp the idiots to stop with the daily scare tactics we are not maiâ€"
"843","we already have all that your administration depleted the stockpile causing delay in ppe hcq zpac andâ€"
"844","we need hydroxychloroquin"
"845","joe it is too late for trump to do his jobwe will hold on until you become president"
"846","with the china plague having already spread throughout the world tracing doesnâ€™t do any good tracing isâ€"
"847","we need hcq ampto get back to living"
"848","we need trackers to help control the pandemic"
"849","did you not listen to the presidents press conference the other daythere is plenty of ppe stockpiledâ€"
"850","unfortunately the democrats chose to politicize the wuhan virus cuomo botched the epicenter in new yorkâ€"
"851","covidest il une chance pour vousa mon sens vous ne parlez que de ãa et rien rien"
"852","we need a nationwideweek shut down"
"853","what would be advisable people engage brain before starting mouth"
"854","joe we are giving you the opportunity to join our movement"
"855","dude we do we test k a day and only find k cases we test more than enough people get the hell outta here"
"856","we the people need to hear you answer tough questions randomly and without s just like trump does riâ€"
"857","he is and it didnt take him yrs and counting to do it joe"
"858","he is in his sandbox playing with american humans lives"
"859","chinnese man"
"860","all we need is hydroxychloroquine"
"861","why are we pullingtroops out of germanyare you keeping a check list so you can go back amp fix everything he screwed up"
"862","too late joe november he will be voted out he doesnt care about whats happening"
"863","i agree future president and i bet you can organize thatğÿšğÿšğÿšğÿ’ğÿ’ğÿ’ğÿ’"
"864","the under funded school i work at has provided me with more ppe than i need if a poorly funded school caâ€"
"865","no joe we donâ€™t need a nationwide testing strategy all that does is show whoâ€™s had it or has it if youâ€"
"866","sadly it seems as ifis going to just let it ride til you are sworn in janpresident biden"
"867","get out man"
"868","joe only you will show trumpet how effective you will be as president please pick susan rice as vp"
"869","im with joel lets get it done joebidenlandslide"
"870","if spreading lies and fear is the only way you can win then sure lies fakecovidnumbers"
"871","your absolutely right i may not love you as a candidate but i could put our differences of opinion asideâ€"
"872","we need single payer healthcarewe need free and fair electionswe need to get money out of politicsâ€"
"873","youre disqualified"
"874","yo mindless joe you ainâ€™t tracing me and tell us all again howyou would do better than arecoveryâ€"
"875","million plus tests already done we need hcq zpacks and zinc given to those affected that is not aâ€"
"876","did you not watch the press conference yesterdaymillion americans were tested thatâ€™s pretty comprehâ€"
"877","we the people need for you next real president biden to start on nov th"
"878","trump loves to campaign and play golf leading is not his strength"
"879","dear president bidenlead now as if you are our presidentas of nowwe do not have a leaderitâ€"
"880","we need you to shutup you give me a headache"
"881","look at you in control and in command"
"882","kamala harris please"
"883","if you are elected please learn from the mistakes of trump"
"884","ğÿ’ agree we need a level headed and honest man like biden in office especially to start stabilizing our country"
"885","no matter what anyone says he just doesnt want to he must hate us otherwise why would he be ok with overâ€"
"886","if you win you will be committed to assisted living november"
"887","all those things are being done already wedontneedyou"
"888","didnt you and obama halt funding for hn testing back inhow can we trust you to handle covid hoâ€"
"889","you guys really wanna vote this dummy in who canâ€™t get a sentence out of his mouth and want to defund thâ€"
"890","he is doing his job americans donâ€™t want tracing ppe is flush we want the virus ended which is basicalâ€"
"891","hes not going to thats why we need you"
"892","this president the one who indentifies man woman a camera and a tv his job is to sit still in make up chairstop it"
"893","china joetrump has been doing his job excellentlyyour dementia will prevent you from doing your jobâ€"
"894","you are supposed to be a leader how about instead of saying what you need which is bullshit talk for yoâ€"
"895","we needed this months ago buttrumpgop"
"896","we needed you foryears to do your job but you failed to do anything but cover up treason embezzle mâ€"
"897","how would you accomplish that joeshutting down refineries and retraining oil workersyou have no plaâ€"
"898","hahaaaa and you are supposed to be the oneplay that record player at nightğÿğÿğÿ"
"899","this is stupid tweet donâ€™t tell the people what trump needs to do tell them what youâ€™ll do what if heâ€"
"900","testing amp isolation is the key to fight covid"
"901","we need this socalled potus out the white house and he can move to russia with the country and the man hâ€"
"902","your keepers have your ppebyebyebiden third times not a charm"
"903","we need this president to gtfo"
"904","we need test results with inhours itâ€™s all pointless otherwise nfl nba and the wh can get it theâ€"
"905","he just needs to get out of the way"
"906","besides being guided out cause he doesnâ€™t know where he is why isnâ€™t him or any of these people wearingâ€"
"907","and of course we need for every american to have healthcare not just access to healthcare during tâ€"
"908","nothing like showing up to the partymonths too late liberalismisamentaldisorder bidenistheenemy"
"909","earth to quid pro quo joe he is"
"910","we really just need hydroxy chloroquine the rest is politics from you party"
"911","he is"
"912","that ship has sailed"
"913","then get the hell out of his way so he can"
"914","please no hit job harris will be big mistakerice or demmings so much better could never pull the lever for harris"
"915","he wont do his job hasnt done it for a singlehour periodtime to look at it as the way it is â€"
"916","who wrote this its way too coherent"
"917","im all for biden but please dont pick a running mate based on them being a woman of color thatâ€"
"918","thank youkeep saying this"
"919","joe you donâ€™t even know what ppe islowiqjoe"
"920","biden"
"921","you could have just said we need a president"
"922","this president still thinks the trump virus is a hoax we need you joe"
"923","we deserve to know which government officials and members of the media who have taken hydroxychloroquine makehcqotc"
"924","he is doing his job the stupid governors amp mayors are the ones not doing their jobs you aint got a châ€"
"925","like how you and obama shut down the swine flu testing so the numbers werenâ€™t high democrats hate americâ€"
"926","joe you need to have your family do their job and take you out of this race you are unfit you will never be president"
"927","you canteven debate yet you want to tell someone else how to do a job i could beat you in a debate"
"928","we need u joe"
"929","we need vaccine for all covid"
"930","malarkyhospitals need to order more ppe if they need it not wait around for a government hand out theyâ€"
"931","well then weâ€™re waiting for you mr trump cannot fulfill the role of potus trump isâ€"
"932","every state should already have tracing and testing in place"
"933","days for my test results"
"934","you needon your team asap vp would be even better shegotitright"
"935","he has been doing his job what about youwhat did you actually do foryears"
"936","joeiâ€™m pretty sure governors and mayors have been tasked w thisplease wake up"
"937","ğÿ"
"938","ok groper"
"939","we need you bidentosaveamerica"
"940","can u hear usmedicare for all"
"941","pick harris as your vp please"
"942","have you been allowed out of your room yet"
"943","the virus was hammered into peoples heads the test of a third world war on an intellectual level the râ€"
"944","sleepy bastard joe"
"945","stop letting other people write these tweets for you it is so much more entertaining when you attempt to write them yourself"
"946","stfu ğÿ–•ğÿ"
"947","really dumb"
"948","just like you and obama did with hnmillion plus infected then you stopped testing"
"949","mr biden youve been an elected political official forordecades youve claimed credit for headinâ€"
"950","we need a national face mask mandate and for it to be enforced"
"951","is there a ppe shortage i know right now i can go to my local grocery store and buy a pack of surgical mâ€"
"952","we donâ€™t need any of that nor do we need a vaccine the virus will pass on its own it is showing that inâ€"
"953","debate trump or admit defeat you are a laughing stock"
"954","but you will have to do it for himand i cant wait to see you in the oval office"
"955","how are you going to get this done from your basement your family should really stop this joke its elder abuse"
"956","he is too busy running for reelection he has been busy with this since"
"957","and thats exactly what hes doing sleepy joe"
"958","no sir we dont need this president to do his job we need you"
"959","how about start by getting yourself tested"
"960","we will not accept a tracing program in a free country we have ppecoming out our earswe need to stoâ€"
"961","welcome to kingswood community center only thats not where you were"
"962","yes my friends mother just died from lack of action from the governmentshe wouldnâ€™t have gotten covidâ€"
"963","we need to make sure you never get elected"
"964","hey joetrump has already done all thatpay attention"
"965","actually given his level of ignorance racism homophobia xenophobia and just downright crueltyi wâ€"
"966","both should resign if you canâ€™t do this"
"967","or people could just take hydrochloroquine like all those doctors just came out recommendingturns outâ€"
"968","you leading already an doing more then donald duck and u donâ€™t need a big crowd to lead your country andoâ€"
"969","for someone who doesnt support medicareforallthe single most essential service needed by the americaâ€"
"970","what we need is the democrats to stop lying stop allowing criminals to destroy our cities and stop lettâ€"
"971","weâ€™re just waiting on you joe done with him"
"972","we need you this president doesnt deserve the title"
"973","trump did more inyr then you did in ğÿ™œğÿ™œğÿ™œğÿ™œ"
"974","get ready im sure itll still be a problem when you take office"
"975","shut up corn pops handler nobody cares what you say"
"976","lead follow or get out of the way"
"977","we need a leader that is not a nut case"
"978","we also need hazard pay for all healthcare workers"
"979","what have you done foryears president trump has done more for the people inyears than you did iâ€"
"980","certainly hope you have a contingency plan for this for when you assume the presidency that can be immeâ€"
"981","god joe can chat some shit hes been doing it for years in politics"
"982","hes too busy looking into alein dna and demon sperm weird"
"983","trump"
"984","tell your handlers to up your meds the delusions of grandeur are creeping back in"
"985","your a few months late on your input how was hibernation"
"986","we need you to do your job as the democratic nominee and speak to the press and answer questions"
"987","why didnt obamabiden replenish ppes fact no indication obamabiden took stepsâ€"
"988","isnt that what our current president is doing all the above how original go back to sleep joe"
"989","donâ€™t forget our public school personnel and students"
"990","we all know that trump wonât ever do his job he doesnât care about people dying all he cares about is bâ€"
"991","this ğÿ‘‡"
"992","capital p jill ğÿ‘š"
"993","joe please tell us more stories of when you were a kid back in the â€™syour stories never get old tell us more about cornpop"
"994","years in office and now you think you can make a difference gtfoh"
"995","this is common sense from a man with a heart the next president of the united statesğÿ™ biden"
"996","nighty night sleepy joe"
"997","first he had to restock the warehouse you and your buddy obama let run dry"
"998","we need you to win in november and fix this mess"
"999","we need donald trump out and someone competent running the countryhe needs to be firednow"
"1000","if you have a problem figuring out whether youâ€™re for me or trump you ainâ€™t blackjoe biden"
"1001","what we dont need is you doing his job"
"1002","he cant do the jobthat much is clearwe need you"
"1003","survival ratethere is a cureis this about a virus or an election"
"1004","we need demand medicare for all mfa medicareforall"
"1005","puppetforevil"
"1006","q is busting you"
"1007","your a day late and a dollar short"
"1008","bla bla blaempty wordsyouâ€™ve got nothing"
"1009","we need a leader not a show hosttrumps in over his head and he is hell bent on taking us all down with him trumpfailsamerica"
"1010","and incarceration for most of the criminalplease seize passports so they cannot becomethe boâ€"
"1011","ğÿ"
"1012","all of trumpâ€™s campaign promises have not been met afteryears of trump we do need someone to makeâ€"
"1013","bidenstwitterguysucks"
"1014","we need you joe and a flipped senate"
"1015","w w"
"1016","america needs joe biden to fix all these right vote joe biden vote right"
"1017","wait a damn minute are you saying watching tv looking at twitter not reading and playing golfâ€"
"1018","we need you to get out and stop hiding in the basement"
